Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount(in hundreds)
233,29-12-2023,CUST233,Female,51,Beauty,2,300,6
234,20-11-2023,CUST234,Female,62,Electronics,2,25,0.5
235,31-01-2023,CUST235,Female,23,Electronics,2,500,10
236,28-04-2023,CUST236,Female,54,Clothing,1,25,0.25
237,04-02-2023,CUST237,Female,50,Beauty,2,500,10
238,17-01-2023,CUST238,Female,39,Beauty,1,500,5
239,19-06-2023,CUST239,Male,38,Electronics,3,500,15
240,06-02-2023,CUST240,Female,23,Beauty,1,300,3
241,21-09-2023,CUST241,Female,23,Electronics,3,25,0.75
242,02-05-2023,CUST242,Male,21,Clothing,1,25,0.25
243,23-05-2023,CUST243,Female,47,Electronics,3,300,9
244,09-12-2023,CUST244,Male,28,Beauty,2,50,1
245,06-09-2023,CUST245,Male,47,Clothing,3,30,0.9
246,20-04-2023,CUST246,Female,48,Electronics,2,25,0.5
247,04-10-2023,CUST247,Male,41,Electronics,2,30,0.6
248,09-03-2023,CUST248,Male,26,Clothing,3,300,9
249,20-10-2023,CUST249,Male,20,Clothing,1,50,0.5
250,23-10-2023,CUST250,Male,48,Electronics,1,50,0.5
251,31-08-2023,CUST251,Female,57,Beauty,4,50,2
252,05-05-2023,CUST252,Male,54,Electronics,1,300,3
253,31-08-2023,CUST253,Female,53,Clothing,4,500,20
254,28-07-2023,CUST254,Male,41,Electronics,1,500,5
255,08-04-2023,CUST255,Male,48,Clothing,1,30,0.3
256,18-02-2023,CUST256,Male,23,Clothing,2,500,10
257,19-02-2023,CUST257,Male,19,Beauty,4,500,20
258,04-12-2023,CUST258,Female,37,Clothing,1,50,0.5
259,09-08-2023,CUST259,Female,45,Clothing,4,50,2
260,01-07-2023,CUST260,Male,28,Beauty,2,30,0.6
261,05-08-2023,CUST261,Male,21,Clothing,2,25,0.5
262,30-07-2023,CUST262,Female,32,Beauty,4,30,1.2
263,28-08-2023,CUST263,Male,23,Beauty,2,30,0.6
264,28-01-2023,CUST264,Male,47,Clothing,3,300,9
265,11-12-2023,CUST265,Male,55,Clothing,3,300,9
266,01-12-2023,CUST266,Female,19,Electronics,2,30,0.6
267,27-11-2023,CUST267,Female,32,Beauty,3,30,0.9
268,20-02-2023,CUST268,Female,28,Electronics,1,30,0.3
269,01-02-2023,CUST269,Male,25,Clothing,4,500,20
270,26-07-2023,CUST270,Male,43,Electronics,1,300,3
271,23-06-2023,CUST271,Female,62,Beauty,4,30,1.2
272,25-02-2023,CUST272,Female,61,Electronics,2,50,1
273,08-05-2023,CUST273,Female,22,Beauty,1,50,0.5
274,09-04-2023,CUST274,Female,23,Clothing,2,500,10
275,08-04-2023,CUST275,Male,43,Clothing,2,500,10
276,02-10-2023,CUST276,Female,21,Beauty,4,25,1
277,18-08-2023,CUST277,Male,36,Clothing,4,25,1
278,13-03-2023,CUST278,Female,37,Clothing,4,25,1
279,05-08-2023,CUST279,Male,50,Clothing,1,500,5
280,04-04-2023,CUST280,Female,37,Clothing,3,500,15
281,23-05-2023,CUST281,Female,29,Beauty,4,500,20
282,25-08-2023,CUST282,Female,64,Electronics,4,50,2
283,08-05-2023,CUST283,Female,18,Electronics,1,500,5
284,08-02-2023,CUST284,Male,43,Clothing,4,50,2
285,15-08-2023,CUST285,Female,31,Electronics,1,25,0.25
286,09-10-2023,CUST286,Male,55,Electronics,2,25,0.5
287,20-02-2023,CUST287,Male,54,Clothing,4,25,1
288,26-01-2023,CUST288,Male,28,Clothing,4,30,1.2
289,30-11-2023,CUST289,Male,53,Electronics,2,30,0.6
290,04-10-2023,CUST290,Female,30,Beauty,2,300,6
291,08-01-2023,CUST291,Male,60,Clothing,2,300,6
292,17-02-2023,CUST292,Male,20,Beauty,4,300,12
293,02-05-2023,CUST293,Male,50,Electronics,3,30,0.9
294,27-03-2023,CUST294,Female,23,Clothing,3,30,0.9
295,28-07-2023,CUST295,Female,27,Beauty,3,300,9
296,06-09-2023,CUST296,Female,22,Clothing,4,300,12
297,04-09-2023,CUST297,Female,40,Electronics,2,500,10
298,20-04-2023,CUST298,Male,27,Beauty,4,300,12
299,25-07-2023,CUST299,Male,61,Electronics,2,500,10
300,31-01-2023,CUST300,Female,19,Electronics,4,50,2
301,26-03-2023,CUST301,Male,30,Clothing,4,30,1.2
302,14-07-2023,CUST302,Male,57,Beauty,2,300,6
303,02-01-2023,CUST303,Male,19,Electronics,3,30,0.9
304,19-07-2023,CUST304,Female,37,Electronics,2,30,0.6
305,16-05-2023,CUST305,Female,18,Beauty,1,30,0.3
306,21-08-2023,CUST306,Male,54,Electronics,1,50,0.5
307,27-05-2023,CUST307,Female,26,Electronics,2,25,0.5
308,05-08-2023,CUST308,Female,34,Beauty,4,300,12
309,23-12-2023,CUST309,Female,26,Beauty,1,25,0.25
310,12-10-2023,CUST310,Female,28,Beauty,1,25,0.25
311,05-12-2023,CUST311,Female,32,Beauty,4,25,1
312,07-09-2023,CUST312,Male,41,Clothing,4,30,1.2
313,21-03-2023,CUST313,Female,55,Beauty,3,500,15
314,08-04-2023,CUST314,Male,52,Clothing,4,30,1.2
315,01-06-2023,CUST315,Male,47,Clothing,2,30,0.6
316,22-04-2023,CUST316,Female,48,Clothing,2,25,0.5
317,30-01-2023,CUST317,Male,22,Electronics,3,30,0.9
318,24-10-2023,CUST318,Male,61,Clothing,1,25,0.25
319,05-10-2023,CUST319,Male,31,Clothing,1,500,5
320,01-02-2023,CUST320,Female,28,Electronics,4,300,12
321,10-06-2023,CUST321,Female,26,Electronics,2,25,0.5
322,30-01-2023,CUST322,Male,51,Electronics,1,500,5
323,26-01-2023,CUST323,Female,29,Beauty,3,300,9
324,27-10-2023,CUST324,Female,52,Electronics,3,50,1.5
325,02-09-2023,CUST325,Female,52,Electronics,2,25,0.5
326,15-09-2023,CUST326,Female,18,Clothing,3,25,0.75
327,29-09-2023,CUST327,Male,57,Electronics,3,50,1.5
328,22-03-2023,CUST328,Male,39,Beauty,2,50,1
329,30-01-2023,CUST329,Female,46,Electronics,4,25,1
330,18-09-2023,CUST330,Female,25,Beauty,4,50,2
331,11-02-2023,CUST331,Male,28,Electronics,3,30,0.9
332,06-04-2023,CUST332,Male,58,Electronics,4,300,12
333,05-02-2023,CUST333,Female,54,Electronics,4,300,12
334,01-11-2023,CUST334,Male,31,Electronics,3,300,9
335,04-02-2023,CUST335,Female,47,Beauty,4,30,1.2
336,12-12-2023,CUST336,Female,52,Beauty,3,50,1.5
337,01-05-2023,CUST337,Male,38,Clothing,1,500,5
338,26-07-2023,CUST338,Male,54,Beauty,2,50,1
339,03-03-2023,CUST339,Female,22,Electronics,2,25,0.5
340,19-10-2023,CUST340,Female,36,Clothing,4,300,12
341,07-05-2023,CUST341,Male,31,Clothing,4,50,2
342,24-10-2023,CUST342,Female,43,Clothing,4,500,20
343,01-11-2023,CUST343,Male,21,Electronics,2,25,0.5
344,21-01-2023,CUST344,Female,42,Beauty,1,30,0.3
345,14-11-2023,CUST345,Male,62,Electronics,1,30,0.3
346,11-02-2023,CUST346,Male,59,Clothing,2,500,10
347,03-08-2023,CUST347,Male,42,Electronics,1,25,0.25
348,03-12-2023,CUST348,Female,35,Electronics,2,300,6
349,26-10-2023,CUST349,Female,57,Beauty,1,50,0.5
350,17-10-2023,CUST350,Male,25,Beauty,3,25,0.75
351,25-09-2023,CUST351,Female,56,Clothing,3,30,0.9
352,11-06-2023,CUST352,Male,57,Electronics,2,500,10
353,14-05-2023,CUST353,Male,31,Electronics,1,500,5
354,15-04-2023,CUST354,Female,49,Beauty,4,50,2
355,09-12-2023,CUST355,Female,55,Electronics,1,500,5
356,10-06-2023,CUST356,Male,50,Electronics,3,500,15
357,03-05-2023,CUST357,Female,40,Electronics,3,25,0.75
358,16-05-2023,CUST358,Female,32,Beauty,1,300,3
359,22-07-2023,CUST359,Male,50,Clothing,1,50,0.5
360,09-03-2023,CUST360,Male,42,Clothing,4,25,1
361,10-12-2023,CUST361,Female,34,Electronics,4,300,12
362,27-11-2023,CUST362,Male,50,Clothing,1,25,0.25
363,03-06-2023,CUST363,Male,64,Beauty,1,25,0.25
364,23-08-2023,CUST364,Female,19,Beauty,1,500,5
365,11-06-2023,CUST365,Male,31,Clothing,1,300,3
366,07-02-2023,CUST366,Male,57,Clothing,2,50,1
367,05-01-2023,CUST367,Female,57,Electronics,1,50,0.5
368,23-08-2023,CUST368,Female,56,Clothing,4,300,12
369,15-11-2023,CUST369,Male,23,Electronics,3,500,15
370,16-10-2023,CUST370,Male,23,Electronics,2,30,0.6
371,21-02-2023,CUST371,Female,20,Beauty,1,25,0.25
372,07-02-2023,CUST372,Female,24,Beauty,3,500,15
373,03-10-2023,CUST373,Female,25,Beauty,2,300,6
374,20-04-2023,CUST374,Female,59,Beauty,3,25,0.75
375,17-09-2023,CUST375,Male,32,Clothing,1,50,0.5
376,16-05-2023,CUST376,Female,64,Beauty,1,30,0.3
377,09-03-2023,CUST377,Female,46,Clothing,4,50,2
378,28-06-2023,CUST378,Male,50,Beauty,1,300,3
379,05-02-2023,CUST379,Female,47,Clothing,1,25,0.25
380,06-05-2023,CUST380,Male,56,Electronics,2,300,6
381,09-07-2023,CUST381,Female,44,Clothing,4,25,1
382,26-05-2023,CUST382,Female,53,Clothing,2,500,10
383,22-03-2023,CUST383,Female,46,Beauty,3,30,0.9
384,13-08-2023,CUST384,Male,55,Clothing,1,500,5
385,06-10-2023,CUST385,Male,50,Electronics,3,500,15
386,27-12-2023,CUST386,Female,54,Electronics,2,300,6
387,04-06-2023,CUST387,Male,44,Beauty,1,30,0.3
388,10-11-2023,CUST388,Male,50,Electronics,1,25,0.25
389,01-12-2023,CUST389,Male,21,Clothing,2,25,0.5
390,28-09-2023,CUST390,Male,39,Electronics,2,50,1
391,05-01-2023,CUST391,Male,19,Beauty,2,25,0.5
392,08-12-2023,CUST392,Male,27,Clothing,2,300,6
393,11-10-2023,CUST393,Female,22,Beauty,2,500,10
394,03-06-2023,CUST394,Female,27,Clothing,1,500,5
395,06-12-2023,CUST395,Male,50,Electronics,2,500,10
396,23-02-2023,CUST396,Female,55,Beauty,1,30,0.3
397,10-03-2023,CUST397,Female,30,Beauty,1,25,0.25
398,16-05-2023,CUST398,Female,48,Clothing,2,300,6
399,01-03-2023,CUST399,Female,64,Beauty,2,30,0.6
400,24-02-2023,CUST400,Male,53,Clothing,4,50,2
401,11-10-2023,CUST401,Female,62,Clothing,1,300,3
402,21-03-2023,CUST402,Female,41,Clothing,2,300,6
403,20-05-2023,CUST403,Male,32,Clothing,2,300,6
404,25-05-2023,CUST404,Male,46,Electronics,2,500,10
405,06-11-2023,CUST405,Female,25,Clothing,4,300,12
406,18-04-2023,CUST406,Female,22,Beauty,4,25,1
407,25-06-2023,CUST407,Female,46,Electronics,3,300,9
408,15-04-2023,CUST408,Female,64,Beauty,1,500,5
409,18-12-2023,CUST409,Female,21,Electronics,3,300,9
410,21-11-2023,CUST410,Female,29,Clothing,2,50,1
411,16-05-2023,CUST411,Male,62,Electronics,4,50,2
412,16-09-2023,CUST412,Female,19,Electronics,4,500,20
413,08-09-2023,CUST413,Female,44,Beauty,3,25,0.75
414,09-05-2023,CUST414,Male,48,Beauty,4,25,1
415,27-01-2023,CUST415,Male,53,Clothing,2,30,0.6
416,17-02-2023,CUST416,Male,53,Electronics,4,500,20
417,21-11-2023,CUST417,Male,43,Electronics,3,300,9
418,05-08-2023,CUST418,Female,60,Electronics,2,500,10
419,22-05-2023,CUST419,Female,44,Clothing,3,30,0.9
420,23-01-2023,CUST420,Female,22,Clothing,4,500,20
421,02-01-2023,CUST421,Female,37,Clothing,3,500,15
422,20-06-2023,CUST422,Female,28,Clothing,3,30,0.9
423,08-03-2023,CUST423,Female,27,Clothing,1,25,0.25
424,23-11-2023,CUST424,Male,57,Beauty,4,300,12
425,15-05-2023,CUST425,Female,55,Electronics,4,30,1.2
426,24-03-2023,CUST426,Male,23,Electronics,3,50,1.5
427,15-08-2023,CUST427,Male,25,Electronics,1,25,0.25
428,10-10-2023,CUST428,Female,40,Electronics,4,50,2
429,28-12-2023,CUST429,Male,64,Electronics,2,25,0.5
430,07-08-2023,CUST430,Female,43,Electronics,3,300,9
431,15-10-2023,CUST431,Male,63,Electronics,4,300,12
432,05-01-2023,CUST432,Female,60,Electronics,2,500,10
433,27-02-2023,CUST433,Male,29,Beauty,4,50,2
434,08-02-2023,CUST434,Female,43,Electronics,2,25,0.5
435,20-12-2023,CUST435,Female,30,Beauty,3,300,9
436,18-03-2023,CUST436,Female,57,Clothing,4,30,1.2
437,07-10-2023,CUST437,Female,35,Electronics,4,300,12
438,19-01-2023,CUST438,Female,42,Clothing,1,30,0.3
439,09-07-2023,CUST439,Male,50,Clothing,3,25,0.75
440,26-10-2023,CUST440,Male,64,Clothing,2,300,6
441,10-10-2023,CUST441,Male,57,Beauty,4,300,12
442,17-03-2023,CUST442,Female,60,Clothing,4,25,1
443,09-08-2023,CUST443,Male,29,Clothing,2,300,6
444,07-03-2023,CUST444,Female,61,Clothing,3,30,0.9
445,22-01-2023,CUST445,Female,53,Electronics,1,300,3
446,07-06-2023,CUST446,Male,21,Electronics,1,50,0.5
447,06-07-2023,CUST447,Male,22,Beauty,4,500,20
448,21-01-2023,CUST448,Female,54,Beauty,2,30,0.6
449,03-07-2023,CUST449,Male,25,Electronics,4,50,2
450,18-04-2023,CUST450,Female,59,Beauty,2,25,0.5
